Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,TotalFaredPax_city1,TotalPerLFMkts_city1,TotalPerPrem_city1,TotalFaredPax_city2,TotalPerLFMkts_city2,TotalPerPrem_city2
2025,2,30559,30852,"Seattle, WA","Washington, DC (Metropolitan Area)",2335,2412,325.1,AS,0.478,334.49,DL,0.1657,319.57,6438890.0,0.5614,-0.0635,3435623.33333333,0.6599,0.0452
2025,2,31453,31454,"Houston, TX","Orlando, FL",854,2381,194.47,UA,0.4115,234.16,F9,0.1051,99.78,3078355.0,0.8194,0.01925,8664260.0,0.9797,-0.1155
2025,2,31453,32211,"Houston, TX","Las Vegas, NV",1235,2378,218.43,UA,0.3924,289.84,NK,0.175,110.43,3078355.0,0.8194,0.01925,7899270.0,0.9837,-0.1219
2025,2,33192,33570,"Sacramento, CA","San Diego, CA",480,2362,161.2,WN,0.852,159.57,WN,0.852,159.57,2447750.0,0.9584,-0.0727,4512730.0,0.8522,-0.0698
2025,2,30325,31650,"Denver, CO","Minneapolis/St. Paul, MN",680,2347,161.91,DL,0.3848,187.67,SY,0.1009,106.27,7993970.0,0.9393,-0.0355,4379460.0,0.9079,0.0525
2025,2,32575,34100,"Los Angeles, CA (Metropolitan Area)","Philadelphia, PA",2402,2300,314.25,AA,0.6844,361.66,NK,0.136,112.6,2822942.0,0.86508,-0.03806,4375880.0,0.8143,0.0707
2025,2,30977,31650,"Chicago, IL","Minneapolis/St. Paul, MN",349,2279,194.3,DL,0.3679,221.95,WN,0.1633,151.58,5402975.0,0.77515,-0.00784999999999999,4379460.0,0.9079,0.0525
2025,2,32575,30693,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",1797,2261,304.49,WN,0.4781,281.93,WN,0.4781,281.93,2822942.0,0.86508,-0.03806,3820000.0,0.9487,0.0199
2025,2,30994,31703,"Charleston, SC","New York City, NY (Metropolitan Area)",677,2234,208.15,DL,0.314,266.59,NK,0.1205,122.37,1354720.0,0.7937,-0.0197,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,31650,30466,"Minneapolis/St. Paul, MN","Phoenix, AZ",1276,2211,206.99,DL,0.4661,258.75,SY,0.3007,141.24,4379460.0,0.9079,0.0525,3472715.0,0.9637,-0.301199999999999
